Drug1,Drug2,Severity,Type,Mechanism,Clinical Effect,Recommendation,Monitoring,Dose Dependence,Alternative,Reference
Warfarin,Phenobarbital,Major,Pharmacokinetic,Enzyme induction can increase warfarin metabolism,Reduced anticoagulant effect,Close INR monitoring and dose adjustment,INR,Yes,Consider alternative anticonvulsant,FDA/approved product labeling
Warfarin,Valproic Acid,Major,Pharmacodynamic/Pharmacokinetic,Valproate can affect platelet function and alter warfarin response,Bleeding risk and INR changes,Monitor INR and bleeding closely,INR and bleeding signs,Yes,Consider alternative anticonvulsant,FDA/approved product labeling
Apixaban,Ketoconazole,Major,Pharmacokinetic,Strong CYP3A4/P-gp inhibition increases apixaban exposure,Increased bleeding risk,Follow product-specific dose recommendations or avoid when appropriate,Bleeding signs and renal/hepatic status,Yes,Use alternative antifungal or anticoagulant when appropriate,FDA/approved product labeling
Rivaroxaban,Ketoconazole,Major,Pharmacokinetic,Strong CYP3A4/P-gp inhibition increases rivaroxaban exposure,Increased bleeding risk,Avoid strong dual inhibitors when possible,Bleeding signs,Yes,Use alternative antifungal/anticoagulant,FDA/approved product labeling
Dabigatran,Ketoconazole,Major,Pharmacokinetic,Strong P-gp inhibition increases dabigatran exposure,Increased bleeding risk,Avoid or follow product-specific restrictions,Bleeding signs and renal function,Yes,Use alternative antifungal when appropriate,FDA/approved product labeling
Ticagrelor,Aspirin,Moderate,Pharmacodynamic,Combined platelet inhibition increases bleeding risk,Increased bleeding risk,Use aspirin only within the recommended maintenance dose range,Bleeding signs,Yes,Follow antiplatelet regimen specified by indication,FDA/approved product labeling
Ticagrelor,Simvastatin,Moderate,Pharmacokinetic,Ticagrelor can increase simvastatin exposure,Increased statin adverse effects,Observe statin dose restrictions and monitor,Muscle symptoms,Yes,Consider alternative statin,FDA/approved product labeling
Ticagrelor,Atorvastatin,Moderate,Pharmacokinetic,Ticagrelor can increase atorvastatin exposure,Potential myopathy risk,Use clinically appropriate statin dose and monitor,Muscle symptoms,Yes,Consider alternative statin if needed,FDA/approved product labeling
Prasugrel,Aspirin,Major,Pharmacodynamic,Additive platelet inhibition,Increased bleeding risk,Use together only when dual antiplatelet therapy is indicated,Bleeding signs,Yes,Follow indication-specific regimen,FDA/approved product labeling
Dipyridamole,Aspirin,Moderate,Pharmacodynamic,Additive antiplatelet effects,Increased bleeding risk,Use when clinically indicated and monitor,Bleeding signs,Yes,Individualize antiplatelet regimen,FDA/approved product labeling
Cilostazol,Aspirin,Moderate,Pharmacodynamic,Additive antiplatelet effects,Increased bleeding risk,Monitor when combination is necessary,Bleeding signs,Yes,Individualize antiplatelet regimen,FDA/approved product labeling
Cilostazol,Clopidogrel,Moderate,Pharmacodynamic,Additive platelet inhibition,Increased bleeding risk,Use only when clinically justified,Bleeding signs,Yes,Review antiplatelet strategy,FDA/approved product labeling
Enoxaparin,Aspirin,Major,Pharmacodynamic,Additive anticoagulant and antiplatelet effects,Increased bleeding risk,Use only when indicated and monitor,Bleeding signs and CBC,Yes,Review antithrombotic regimen,FDA/approved product labeling
Enoxaparin,Clopidogrel,Major,Pharmacodynamic,Additive antithrombotic effects,Increased bleeding risk,Use only when clinically indicated,Bleeding signs and CBC,Yes,Review antithrombotic regimen,FDA/approved product labeling
Tranexamic Acid,Warfarin,Moderate,Pharmacodynamic,Antifibrinolytic effect may oppose anticoagulation depending on indication,Altered thrombosis/bleeding balance,Use only for a clear indication with specialist oversight,Bleeding/thrombotic status,Yes,Consider alternative hemostatic strategy,FDA/approved product labeling
Lisinopril,Potassium chloride,Major,Pharmacodynamic,ACE inhibition reduces aldosterone-mediated potassium excretion,Hyperkalemia,Monitor potassium and renal function,Potassium and renal function,Yes,Use alternative potassium strategy,FDA/approved product labeling
Losartan,Potassium chloride,Major,Pharmacodynamic,ARB therapy can increase potassium retention,Hyperkalemia,Monitor potassium and renal function,Potassium and renal function,Yes,Review potassium supplementation,FDA/approved product labeling
Ramipril,Potassium chloride,Major,Pharmacodynamic,ACE inhibition increases potassium retention,Hyperkalemia,Monitor potassium and renal function,Potassium and renal function,Yes,Review potassium supplementation,FDA/approved product labeling
Spironolactone,Potassium chloride,Major,Pharmacodynamic,Both increase serum potassium,Severe hyperkalemia,Avoid routine combination unless specifically indicated,Potassium and renal function,Yes,Avoid unnecessary potassium supplementation,FDA/approved product labeling
Eplerenone,Potassium chloride,Major,Pharmacodynamic,Potassium-sparing mineralocorticoid receptor blockade increases potassium,Hyperkalemia,Avoid unnecessary potassium supplementation and monitor,Potassium and renal function,Yes,Review potassium therapy,FDA/approved product labeling
Amiloride,Potassium chloride,Major,Pharmacodynamic,Potassium-sparing diuretic reduces potassium excretion,Severe hyperkalemia,Avoid routine combination,Potassium and renal function,Yes,Use non-potassium-sparing strategy when appropriate,FDA/approved product labeling
Triamterene,Potassium chloride,Major,Pharmacodynamic,Potassium-sparing effect increases serum potassium,Hyperkalemia,Avoid routine combination and monitor,Potassium and renal function,Yes,Review potassium supplementation,FDA/approved product labeling
Eplerenone,Trimethoprim-sulfamethoxazole,Major,Pharmacodynamic,Additive potassium retention,Hyperkalemia,Avoid when possible and monitor,Potassium and renal function,Yes,Consider alternative antibiotic,FDA/approved product labeling
Digoxin,Diltiazem,Moderate,Pharmacokinetic,Diltiazem can increase digoxin exposure,Digoxin toxicity risk,Monitor digoxin and clinical response,Digoxin level and ECG,Yes,Adjust therapy if needed,FDA/approved product labeling
Amiodarone,Simvastatin,Major,Pharmacokinetic,Amiodarone increases simvastatin exposure,Myopathy and rhabdomyolysis risk,Observe product-specific simvastatin dose limit,Muscle symptoms,Yes,Use alternative statin,FDA/approved product labeling
Amiodarone,Atorvastatin,Moderate,Pharmacokinetic,Amiodarone may increase statin exposure,Myopathy risk,Monitor for muscle toxicity,Muscle symptoms,Yes,Consider alternative statin,FDA/approved product labeling
Amiodarone,Metoprolol,Moderate,Pharmacodynamic,Additive effects on heart rate and AV conduction,Bradycardia and conduction disturbance,Monitor heart rate and ECG,Heart rate and ECG,Yes,Adjust rate-control therapy,FDA/approved product labeling
Amiodarone,Propranolol,Moderate,Pharmacodynamic,Additive AV nodal and sinus-node suppression,Bradycardia and hypotension,Monitor cardiovascular status,Heart rate and BP,Yes,Adjust beta-blocker therapy,FDA/approved product labeling
Amiodarone,Diltiazem,Major,Pharmacodynamic,Additive AV nodal suppression,"Bradycardia, hypotension and heart block",Use cautiously and monitor,"Heart rate, BP and ECG",Yes,Alternative rate-control strategy,FDA/approved product labeling
Amiodarone,Sotalol,Major,Pharmacodynamic,Additive QT prolongation and antiarrhythmic effects,Torsades de pointes and ventricular arrhythmia,Avoid routine combination,ECG and electrolytes,Yes,Use alternative antiarrhythmic,FDA/approved product labeling
Sotalol,Diltiazem,Major,Pharmacodynamic,Additive AV nodal suppression,Bradycardia and heart block,Use cautiously or avoid depending on indication,ECG and heart rate,Yes,Alternative rate-control strategy,FDA/approved product labeling
Sotalol,Metoprolol,Major,Pharmacodynamic,Additive beta-blockade,Bradycardia and hypotension,Avoid unnecessary dual beta blockade,Heart rate and BP,Yes,Use one appropriate beta blocker,FDA/approved product labeling
Sotalol,Hydrochlorothiazide,Major,Pharmacodynamic,Thiazide-induced hypokalemia increases sotalol proarrhythmic risk,QT prolongation and torsades risk,Monitor electrolytes and ECG,"ECG, potassium and magnesium",Yes,Correct electrolytes or use alternative,FDA/approved product labeling
Atenolol,Verapamil,Major,Pharmacodynamic,Additive AV nodal blockade,Bradycardia and heart block,Avoid routine combination or monitor closely,Heart rate and ECG,Yes,Alternative antihypertensive/rate-control strategy,FDA/approved product labeling
Metoprolol,Verapamil,Major,Pharmacodynamic,Additive AV nodal suppression,Bradycardia and heart block,Avoid routine combination or monitor closely,Heart rate and ECG,Yes,Alternative rate-control strategy,FDA/approved product labeling
Propranolol,Verapamil,Major,Pharmacodynamic,Additive AV nodal blockade,Bradycardia and hypotension,Use cautiously with monitoring,Heart rate and BP,Yes,Alternative therapy,FDA/approved product labeling
Nitroglycerin,Tadalafil,Contraindicated,Pharmacodynamic,Additive nitric oxide/cGMP-mediated vasodilation,Severe hypotension and cardiovascular compromise,Do not use together,Blood pressure and clinical status,Yes,Use alternative antianginal strategy,FDA/approved product labeling
Isosorbide Mononitrate,Sildenafil,Contraindicated,Pharmacodynamic,Additive vasodilation through nitric oxide/cGMP pathway,Severe hypotension,Do not use together,Blood pressure and clinical status,Yes,Use alternative erectile dysfunction/antianginal strategy,FDA/approved product labeling
Isosorbide Dinitrate,Tadalafil,Contraindicated,Pharmacodynamic,Additive vasodilation through nitric oxide/cGMP pathway,Severe hypotension,Do not use together,Blood pressure and clinical status,Yes,Use alternative strategy,FDA/approved product labeling
Sildenafil,Tamsulosin,Moderate,Pharmacodynamic,Additive vasodilatory effects,Hypotension and dizziness,Start cautiously and monitor BP,Blood pressure,Yes,Adjust alpha-blocker/PDE5 strategy,FDA/approved product labeling
Tadalafil,Tamsulosin,Moderate,Pharmacodynamic,Additive vasodilation,Hypotension and dizziness,Monitor BP and symptoms,Blood pressure,Yes,Individualize therapy,FDA/approved product labeling
Ranolazine,Simvastatin,Moderate,Pharmacokinetic,Ranolazine can increase simvastatin exposure,Myopathy risk,Use product-specific statin dose limits,Muscle symptoms,Yes,Alternative statin,FDA/approved product labeling
Diltiazem,Simvastatin,Major,Pharmacokinetic,CYP3A4 inhibition increases simvastatin exposure,Myopathy and rhabdomyolysis risk,Limit simvastatin dose or use alternative statin,Muscle symptoms,Yes,Use pravastatin/rosuvastatin when appropriate,FDA/approved product labeling
Diltiazem,Atorvastatin,Moderate,Pharmacokinetic,CYP3A4 inhibition can increase atorvastatin exposure,Myopathy risk,Monitor and use appropriate statin dose,Muscle symptoms,Yes,Consider alternative statin,FDA/approved product labeling
Clarithromycin,Diltiazem,Major,Pharmacokinetic,CYP3A4 inhibition increases diltiazem exposure,Hypotension and bradycardia,Monitor closely or use alternative antibiotic,BP and heart rate,Yes,Alternative antibiotic,FDA/approved product labeling
Clarithromycin,Amlodipine,Moderate,Pharmacokinetic,CYP3A4 inhibition may increase calcium-channel blocker exposure,Hypotension and edema,Monitor BP and adverse effects,BP and edema,Yes,Alternative antibiotic,FDA/approved product labeling
Clarithromycin,Felodipine,Major,Pharmacokinetic,CYP3A4 inhibition increases felodipine exposure,Hypotension and edema,Avoid or monitor closely,BP,Yes,Alternative antibiotic,FDA/approved product labeling
Metformin,Furosemide,Moderate,Pharmacokinetic,Diuretic-related renal changes can increase metformin exposure in susceptible patients,Lactic acidosis risk if renal function deteriorates,Monitor renal function,Renal function,Yes,Individualize therapy,FDA/approved product labeling
Metformin,Prednisolone,Moderate,Pharmacodynamic,Corticosteroids can oppose glucose-lowering effects,Hyperglycemia,Monitor glucose and adjust antidiabetic therapy,Blood glucose,Yes,Adjust diabetes regimen,FDA/approved product labeling
Metformin,Dexamethasone,Moderate,Pharmacodynamic,Corticosteroid-induced hyperglycemia can reduce glycemic control,Hyperglycemia,Monitor glucose,Blood glucose,Yes,Adjust diabetes therapy,FDA/approved product labeling
Insulin,Prednisolone,Moderate,Pharmacodynamic,Corticosteroids increase glucose production and insulin requirements,Hyperglycemia,Monitor glucose and adjust insulin,Blood glucose,Yes,Adjust insulin regimen,FDA/approved product labeling
Insulin,Propranolol,Moderate,Pharmacodynamic,Beta blockade can mask adrenergic symptoms of hypoglycemia,Delayed recognition of hypoglycemia,Educate and monitor glucose closely,Blood glucose and symptoms,Yes,Use alternative beta blocker if appropriate,FDA/approved product labeling
Insulin,Metoprolol,Moderate,Pharmacodynamic,Beta blockade can mask hypoglycemia symptoms,Delayed recognition of hypoglycemia,Monitor glucose closely,Blood glucose,Yes,Individualize beta-blocker choice,FDA/approved product labeling
Glimepiride,Propranolol,Moderate,Pharmacodynamic,Beta blockade may mask hypoglycemia symptoms and prolong recovery,Hypoglycemia may be harder to recognize,Monitor glucose closely,Blood glucose,Yes,Use alternative if appropriate,FDA/approved product labeling
Glimepiride,Metoprolol,Moderate,Pharmacodynamic,Beta blockade can mask hypoglycemia symptoms,Delayed recognition of hypoglycemia,Monitor glucose,Blood glucose,Yes,Individualize therapy,FDA/approved product labeling
Repaglinide,Gemfibrozil,Major,Pharmacokinetic,Gemfibrozil markedly increases repaglinide exposure,Severe prolonged hypoglycemia,Avoid combination,Blood glucose,Yes,Use alternative lipid-lowering therapy,FDA/approved product labeling
Repaglinide,Clopidogrel,Major,Pharmacokinetic,Clopidogrel can inhibit repaglinide metabolism,Hypoglycemia,Avoid combination when possible,Blood glucose,Yes,Use alternative antiplatelet/antidiabetic strategy,FDA/approved product labeling
Saxagliptin,Insulin,Moderate,Pharmacodynamic,Additive glucose lowering,Hypoglycemia,Monitor glucose,Blood glucose,Yes,Individualize regimen,FDA/approved product labeling
Dapagliflozin,Insulin,Moderate,Pharmacodynamic,Additive glucose lowering,Hypoglycemia risk,Monitor glucose and adjust insulin when appropriate,Blood glucose,Yes,Individualize therapy,FDA/approved product labeling
Empagliflozin,Insulin,Moderate,Pharmacodynamic,Additive glucose lowering,Hypoglycemia risk,Monitor glucose and adjust insulin,Blood glucose,Yes,Individualize therapy,FDA/approved product labeling
Canagliflozin,Insulin,Moderate,Pharmacodynamic,Additive glucose lowering,Hypoglycemia risk,Monitor glucose and adjust insulin,Blood glucose,Yes,Individualize therapy,FDA/approved product labeling
Pioglitazone,Insulin,Major,Pharmacodynamic,Additive glucose lowering with fluid-retaining effects,Hypoglycemia and edema/heart-failure risk,Monitor glucose and fluid status,Blood glucose and edema,Yes,Review insulin/pioglitazone regimen,FDA/approved product labeling
Pioglitazone,Gemfibrozil,Moderate,Pharmacokinetic,CYP2C8 inhibition can increase pioglitazone exposure,Increased adverse effects,Consider dose adjustment and monitor,Glucose and adverse effects,Yes,Alternative lipid-lowering therapy,FDA/approved product labeling
Levothyroxine,Calcium carbonate,Moderate,Pharmacokinetic,Calcium binds levothyroxine and reduces absorption,Reduced thyroid hormone effect,Separate administration by at least 4 hours,TSH and thyroid function,Yes,Separate doses,FDA/approved product labeling
Levothyroxine,Ferrous sulfate,Moderate,Pharmacokinetic,Iron forms a complex with levothyroxine and reduces absorption,Reduced thyroid hormone effect,Separate administration by at least 4 hours,TSH,Yes,Separate doses,FDA/approved product labeling
Levothyroxine,Sucralfate,Moderate,Pharmacokinetic,Sucralfate reduces gastrointestinal absorption,Reduced thyroid hormone effect,Separate administration and monitor TSH,TSH,Yes,Separate doses,FDA/approved product labeling
Levothyroxine,Aluminium hydroxide,Moderate,Pharmacokinetic,Antacid can reduce levothyroxine absorption,Reduced thyroid hormone effect,Separate administration,TSH,Yes,Separate doses,FDA/approved product labeling
Levothyroxine,Magnesium hydroxide,Moderate,Pharmacokinetic,Antacid can reduce levothyroxine absorption,Reduced thyroid hormone effect,Separate administration,TSH,Yes,Separate doses,FDA/approved product labeling
Methimazole,Warfarin,Moderate,Pharmacodynamic,Changes in thyroid status can alter warfarin response,INR changes,Monitor INR with thyroid-status changes,INR,Yes,Adjust anticoagulation as needed,FDA/approved product labeling
Tramadol,Sertraline,Major,Pharmacodynamic,Serotonergic activity is additive,Serotonin syndrome and seizures,Avoid unnecessary combination or monitor closely,"Mental status, autonomic signs and seizures",Yes,Use non-serotonergic analgesic,FDA/approved product labeling
Tramadol,Fluoxetine,Major,Pharmacodynamic/Pharmacokinetic,Additive serotonergic activity and CYP2D6 inhibition,Serotonin syndrome and altered analgesia,Avoid when possible,Mental status and adverse effects,Yes,Use alternative analgesic,FDA/approved product labeling
Tramadol,Paroxetine,Major,Pharmacodynamic/Pharmacokinetic,Additive serotonergic activity and CYP2D6 inhibition,Serotonin syndrome and reduced analgesic response,Avoid when possible,Mental status and adverse effects,Yes,Use alternative analgesic,FDA/approved product labeling
Tramadol,Venlafaxine,Major,Pharmacodynamic,Additive serotonergic effects,Serotonin syndrome and seizures,Avoid unnecessary combination,Mental status and neurologic signs,Yes,Use alternative analgesic,FDA/approved product labeling
Tramadol,Duloxetine,Major,Pharmacodynamic,Additive serotonergic effects,Serotonin syndrome,Avoid when possible,Mental status and autonomic signs,Yes,Use alternative analgesic,FDA/approved product labeling
Tramadol,Amitriptyline,Major,Pharmacodynamic,Additive serotonergic and CNS effects,Serotonin syndrome and CNS depression,Use cautiously or avoid when possible,Mental status and respiratory status,Yes,Alternative analgesic,FDA/approved product labeling
Tramadol,Bupropion,Major,Pharmacokinetic/Pharmacodynamic,Bupropion inhibits CYP2D6 and lowers seizure threshold,Reduced tramadol activation and increased seizure risk,Avoid when possible,Seizures and analgesic response,Yes,Alternative analgesic,FDA/approved product labeling
Linezolid,Sertraline,Major,Pharmacodynamic,MAO inhibition plus serotonergic therapy,Serotonin syndrome,Avoid when feasible and follow product guidance,Mental status and autonomic signs,Yes,Alternative antibiotic/antidepressant,FDA/approved product labeling
Linezolid,Fluoxetine,Major,Pharmacodynamic,MAO inhibition plus serotonergic therapy,Serotonin syndrome,Avoid when feasible and follow product guidance,Mental status and autonomic signs,Yes,Alternative antibiotic/antidepressant,FDA/approved product labeling
Linezolid,Venlafaxine,Major,Pharmacodynamic,MAO inhibition plus serotonergic therapy,Serotonin syndrome,Avoid when feasible,Mental status and autonomic signs,Yes,Alternative antibiotic,FDA/approved product labeling
Linezolid,Tramadol,Major,Pharmacodynamic,MAO inhibition plus serotonergic activity,Serotonin syndrome and seizures,Avoid combination,Mental status and neurologic signs,Yes,Alternative analgesic,FDA/approved product labeling
Fluoxetine,Amitriptyline,Major,Pharmacokinetic,CYP2D6 inhibition increases tricyclic exposure,TCA toxicity and cardiac/CNS effects,Avoid or use lower dose with monitoring,ECG and adverse effects,Yes,Alternative antidepressant,FDA/approved product labeling
Paroxetine,Amitriptyline,Major,Pharmacokinetic,CYP2D6 inhibition can increase TCA exposure,TCA toxicity,Monitor closely or use alternative,ECG and adverse effects,Yes,Alternative antidepressant,FDA/approved product labeling
Diazepam,Morphine,Major,Pharmacodynamic,Additive CNS and respiratory depression,"Profound sedation, respiratory depression and death",Avoid when possible; if necessary use lowest effective doses with close monitoring,"Respiratory rate, oxygenation and sedation",Yes,Non-sedating alternative when appropriate,FDA/approved product labeling
Lorazepam,Morphine,Major,Pharmacodynamic,Additive CNS and respiratory depression,Profound sedation and respiratory depression,Avoid unnecessary combination and monitor closely,Respiratory status and sedation,Yes,Alternative anxiolytic/analgesic,FDA/approved product labeling
Alprazolam,Oxycodone,Major,Pharmacodynamic,Additive CNS and respiratory depression,Respiratory depression and excessive sedation,Avoid when possible,Respiratory status and sedation,Yes,Alternative anxiolytic/analgesic,FDA/approved product labeling
Clonazepam,Fentanyl,Major,Pharmacodynamic,Additive CNS and respiratory depression,Respiratory depression and profound sedation,Avoid unnecessary combination,Respiratory status and sedation,Yes,Alternative anxiolytic/analgesic,FDA/approved product labeling
Gabapentin,Morphine,Major,Pharmacodynamic,Additive CNS and respiratory depressant effects,Respiratory depression and sedation,Use cautiously and monitor,Respiratory status and sedation,Yes,Reduce sedative burden when possible,FDA/approved product labeling
Pregabalin,Oxycodone,Major,Pharmacodynamic,Additive CNS and respiratory depression,Respiratory depression and sedation,Use cautiously and monitor,Respiratory status and sedation,Yes,Reduce sedative burden,FDA/approved product labeling
Diphenhydramine,Diazepam,Moderate,Pharmacodynamic,Additive sedative and anticholinergic effects,Excess sedation and impaired coordination,Avoid unnecessary combination,Mental status and sedation,Yes,Use non-sedating alternative,FDA/approved product labeling
Promethazine,Morphine,Major,Pharmacodynamic,Additive CNS depression,Excess sedation and respiratory depression,Use only with close monitoring,Respiratory status and sedation,Yes,Alternative antiemetic,FDA/approved product labeling
Haloperidol,Amiodarone,Major,Pharmacodynamic,Additive QT prolongation,Torsades de pointes and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antipsychotic/antiarrhythmic,FDA/approved product labeling
Haloperidol,Sotalol,Major,Pharmacodynamic,Additive QT prolongation,Torsades de pointes,Avoid combination when possible,ECG and electrolytes,Yes,Alternative therapy,FDA/approved product labeling
Quetiapine,Clarithromycin,Major,Pharmacokinetic,CYP3A4 inhibition can increase quetiapine exposure,Excess sedation and adverse effects,Avoid or follow product-specific dose guidance,Mental status and adverse effects,Yes,Alternative antibiotic,FDA/approved product labeling
Quetiapine,Ketoconazole,Major,Pharmacokinetic,Strong CYP3A4 inhibition increases quetiapine exposure,Marked sedation and toxicity,Avoid combination,Mental status and adverse effects,Yes,Alternative antifungal,FDA/approved product labeling
Carbamazepine,Clarithromycin,Major,Pharmacokinetic,CYP3A4 inhibition markedly increases carbamazepine exposure,Carbamazepine toxicity,Avoid or monitor closely with dose adjustment,Carbamazepine level and neurologic status,Yes,Alternative antibiotic,FDA/approved product labeling
Carbamazepine,Fluconazole,Major,Pharmacokinetic,CYP inhibition can increase carbamazepine exposure,Carbamazepine toxicity,Monitor levels and clinical status,Carbamazepine level,Yes,Alternative antifungal,FDA/approved product labeling
Phenytoin,Fluconazole,Major,Pharmacokinetic,Fluconazole can inhibit phenytoin metabolism,Phenytoin toxicity,Monitor phenytoin concentration,Phenytoin level,Yes,Alternative antifungal,FDA/approved product labeling
Valproic Acid,Lamotrigine,Major,Pharmacokinetic,Valproate inhibits lamotrigine metabolism,Increased lamotrigine exposure and serious rash risk,Use appropriate lower lamotrigine dosing and titration,Skin and neurologic status,Yes,Follow product-specific titration,FDA/approved product labeling
Carbamazepine,Lamotrigine,Major,Pharmacokinetic,Carbamazepine induces lamotrigine metabolism,Reduced lamotrigine exposure,Adjust therapy according to product guidance,Clinical response,Yes,Individualize anticonvulsant regimen,FDA/approved product labeling
Phenytoin,Valproic Acid,Major,Pharmacokinetic,Both can alter each other’s protein binding and metabolism,Changes in free phenytoin/valproate exposure,Monitor clinical response and levels when indicated,Drug levels and neurologic status,Yes,Individualize therapy,FDA/approved product labeling
Phenobarbital,Valproic Acid,Major,Pharmacokinetic,Valproate can increase phenobarbital exposure,Sedation and toxicity,Monitor phenobarbital levels/clinical effects,Drug level and sedation,Yes,Adjust anticonvulsant therapy,FDA/approved product labeling
Theophylline,Erythromycin,Major,Pharmacokinetic,Erythromycin can reduce theophylline clearance,Increased theophylline toxicity,Monitor theophylline concentration or use alternative,Theophylline level and adverse effects,Yes,Alternative antibiotic,FDA/approved product labeling
Salbutamol,Furosemide,Moderate,Pharmacodynamic,Both can lower serum potassium,Hypokalemia and arrhythmia risk,Monitor potassium in susceptible patients,Potassium and ECG when indicated,Yes,Adjust therapy,FDA/approved product labeling
Budesonide,Ketoconazole,Moderate,Pharmacokinetic,CYP3A4 inhibition increases corticosteroid exposure,Systemic corticosteroid effects,Avoid strong inhibitors when possible or monitor,Corticosteroid adverse effects,Yes,Alternative antifungal,FDA/approved product labeling
Fluticasone,Ketoconazole,Major,Pharmacokinetic,CYP3A4 inhibition increases systemic corticosteroid exposure,Adrenal suppression and Cushingoid effects,Avoid prolonged combination when possible,Clinical signs of corticosteroid excess,Yes,Alternative antifungal,FDA/approved product labeling
Erythromycin,Simvastatin,Major,Pharmacokinetic,CYP3A4 inhibition increases simvastatin exposure,Myopathy and rhabdomyolysis,Avoid combination,Muscle symptoms,Yes,Alternative statin/antibiotic,FDA/approved product labeling
Erythromycin,Atorvastatin,Major,Pharmacokinetic,CYP3A4 inhibition increases atorvastatin exposure,Myopathy risk,Use cautiously or choose alternative,Muscle symptoms,Yes,Alternative statin/antibiotic,FDA/approved product labeling
Erythromycin,Carbamazepine,Major,Pharmacokinetic,CYP3A4 inhibition increases carbamazepine exposure,Carbamazepine toxicity,Monitor level or use alternative,Carbamazepine level,Yes,Alternative antibiotic,FDA/approved product labeling
Erythromycin,Digoxin,Major,Pharmacokinetic,Can increase digoxin exposure,Digoxin toxicity,Monitor digoxin level and clinical status,Digoxin level and ECG,Yes,Alternative antibiotic,FDA/approved product labeling
Moxifloxacin,Amiodarone,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antibiotic,FDA/approved product labeling
Moxifloxacin,Sotalol,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid combination,ECG and electrolytes,Yes,Alternative antibiotic,FDA/approved product labeling
Levofloxacin,Amiodarone,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antibiotic,FDA/approved product labeling
Levofloxacin,Sotalol,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antibiotic,FDA/approved product labeling
Azithromycin,Amiodarone,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antibiotic,FDA/approved product labeling
Azithromycin,Sotalol,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antibiotic,FDA/approved product labeling
Fluconazole,Simvastatin,Major,Pharmacokinetic,CYP3A4 inhibition increases simvastatin exposure,Myopathy and rhabdomyolysis,Avoid combination when possible,Muscle symptoms,Yes,Alternative statin,FDA/approved product labeling
Fluconazole,Atorvastatin,Moderate,Pharmacokinetic,CYP inhibition can increase atorvastatin exposure,Myopathy risk,Monitor or use alternative,Muscle symptoms,Yes,Alternative statin,FDA/approved product labeling
Fluconazole,Tacrolimus,Major,Pharmacokinetic,CYP3A inhibition increases tacrolimus exposure,Nephrotoxicity and tacrolimus toxicity,Monitor tacrolimus concentration and renal function,Tacrolimus level and renal function,Yes,Adjust tacrolimus as appropriate,FDA/approved product labeling
Itraconazole,Simvastatin,Major,Pharmacokinetic,Strong CYP3A4 inhibition markedly increases simvastatin exposure,Myopathy and rhabdomyolysis,Avoid combination,Muscle symptoms,Yes,Alternative statin,FDA/approved product labeling
Ketoconazole,Simvastatin,Contraindicated,Pharmacokinetic,Strong CYP3A4 inhibition markedly increases simvastatin exposure,Severe myopathy and rhabdomyolysis,Do not use together,Muscle symptoms,Yes,Alternative statin,FDA/approved product labeling
Ketoconazole,Tacrolimus,Major,Pharmacokinetic,Strong CYP3A inhibition increases tacrolimus exposure,Tacrolimus toxicity and nephrotoxicity,Monitor levels closely and adjust,Tacrolimus level and renal function,Yes,Alternative antifungal,FDA/approved product labeling
Clarithromycin,Tacrolimus,Major,Pharmacokinetic,CYP3A inhibition increases tacrolimus exposure,Tacrolimus toxicity and nephrotoxicity,Avoid when possible or adjust with intensive monitoring,Tacrolimus level and renal function,Yes,Alternative antibiotic,FDA/approved product labeling
Clarithromycin,Cyclosporine,Major,Pharmacokinetic,CYP3A inhibition increases cyclosporine exposure,Nephrotoxicity and immunosuppressant toxicity,Monitor cyclosporine level and renal function,Cyclosporine level,Yes,Alternative antibiotic,FDA/approved product labeling
Azithromycin,Tacrolimus,Moderate,Pharmacokinetic,Macrolide therapy may increase tacrolimus exposure,Tacrolimus toxicity,Monitor level and renal function,Tacrolimus level,Yes,Alternative antibiotic,FDA/approved product labeling
Metronidazole,Phenytoin,Moderate,Pharmacokinetic,May increase phenytoin exposure,Phenytoin toxicity,Monitor level when combination is necessary,Phenytoin level,Yes,Alternative antimicrobial,FDA/approved product labeling
Trimethoprim,Potassium chloride,Major,Pharmacodynamic,Trimethoprim reduces renal potassium excretion,Hyperkalemia,Monitor potassium in susceptible patients,Potassium and renal function,Yes,Alternative antibiotic,FDA/approved product labeling
Doxycycline,Magnesium oxide,Moderate,Pharmacokinetic,Divalent cations chelate doxycycline and reduce absorption,Reduced antibiotic exposure,Separate administration by several hours,Clinical response,Yes,Separate doses,FDA/approved product labeling
Tetracycline,Calcium carbonate,Major,Pharmacokinetic,Calcium chelates tetracycline,Reduced antibiotic absorption,Separate administration by several hours,Clinical response,Yes,Separate doses,FDA/approved product labeling
