Drug,Generic Name,Therapeutic Class,Pharmacological Class,Indication,Route,Mechanism,Renal Impairment,Hepatic Impairment,Geriatric Considerations,Pediatric Considerations,Pregnancy,Lactation,Common Adverse Effects
Dapagliflozin,Dapagliflozin,Antidiabetic,SGLT2 inhibitor,Type 2 diabetes and heart failure,Oral,Reduces renal glucose and sodium reabsorption,Efficacy decreases with renal impairment; follow renal restrictions,Caution in hepatic impairment,Monitor volume status and renal function,Not routinely used in young children,Use according to indication and pregnancy guidance,Generally avoided during breastfeeding,Genital infections dehydration
Empagliflozin,Empagliflozin,Antidiabetic,SGLT2 inhibitor,Type 2 diabetes and heart failure,Oral,Inhibits renal SGLT2,Use according to renal function and indication,Caution in hepatic impairment,Monitor volume status and renal function,Not routinely used in young children,Generally avoided during pregnancy,Limited data and generally avoided,Genital infections dehydration
Canagliflozin,Canagliflozin,Antidiabetic,SGLT2 inhibitor,Type 2 diabetes mellitus,Oral,Inhibits renal SGLT2,Renal function determines use and dose,Caution in hepatic impairment,Monitor volume status and foot health,Not routinely used in children,Generally avoided during pregnancy,Limited data,Genital infections dehydration
Pioglitazone,Pioglitazone,Antidiabetic,Thiazolidinedione,Type 2 diabetes mellitus,Oral,Activates PPAR-gamma and improves insulin sensitivity,No major renal adjustment,Use cautiously in hepatic impairment,Fluid retention and fracture risk,Not routinely used in children,Use only when benefits outweigh risks,Limited data,Edema weight gain heart failure exacerbation
Gliclazide,Gliclazide,Antidiabetic,Sulfonylurea,Type 2 diabetes mellitus,Oral,Stimulates pancreatic insulin secretion,Use cautiously in renal impairment,Use cautiously in hepatic impairment,High hypoglycemia risk,Age-specific use,Use only when indicated,Limited data,Hypoglycemia GI upset weight gain
Glipizide,Glipizide,Antidiabetic,Sulfonylurea,Type 2 diabetes mellitus,Oral,Stimulates pancreatic insulin secretion,Use cautiously in renal impairment,Caution in hepatic impairment,Monitor hypoglycemia,Not routinely used in children,Use only when indicated,Limited data,Hypoglycemia weight gain
Repaglinide,Repaglinide,Antidiabetic,Meglitinide,Type 2 diabetes mellitus,Oral,Stimulates rapid insulin release,Use cautiously in renal impairment,Avoid severe hepatic impairment,Monitor hypoglycemia especially in older adults,Not routinely used in children,Use only when indicated,Limited data,Hypoglycemia weight gain
Sitagliptin,Sitagliptin,Antidiabetic,DPP-4 inhibitor,Type 2 diabetes mellitus,Oral,Inhibits DPP-4,Renal dose adjustment required,Caution in hepatic impairment,Monitor renal function,Not routinely used in young children,Use when benefits outweigh risks,Limited data,Headache upper respiratory symptoms
Linagliptin,Linagliptin,Antidiabetic,DPP-4 inhibitor,Type 2 diabetes mellitus,Oral,Inhibits DPP-4,Usually no renal dose adjustment,Caution in hepatic impairment,Monitor overall glycemic control,Not routinely used in young children,Use only when indicated,Limited data,Upper respiratory symptoms headache
Saxagliptin,Saxagliptin,Antidiabetic,DPP-4 inhibitor,Type 2 diabetes mellitus,Oral,Inhibits DPP-4,Renal dose adjustment may be required,Caution in hepatic impairment,Monitor heart failure risk,Not routinely used in children,Use only when indicated,Limited data,Headache respiratory symptoms
Acarbose,Acarbose,Antidiabetic,Alpha-glucosidase inhibitor,Type 2 diabetes mellitus,Oral,Delays carbohydrate digestion and absorption,Avoid significant renal impairment,Avoid significant hepatic impairment,GI adverse effects may be troublesome,Limited pediatric use,Use only when indicated,Limited data,Flatulence diarrhea abdominal pain
Voglibose,Voglibose,Antidiabetic,Alpha-glucosidase inhibitor,Type 2 diabetes mellitus,Oral,Delays intestinal carbohydrate digestion,Use cautiously in renal impairment,Use cautiously in hepatic impairment,GI effects may affect tolerance,Limited pediatric use,Use only when indicated,Limited data,Flatulence diarrhea abdominal pain
Liraglutide,Liraglutide,Antidiabetic,GLP-1 receptor agonist,Type 2 diabetes and weight management,Subcutaneous,Activates GLP-1 receptors,Use cautiously in severe renal impairment,Caution in hepatic impairment,Monitor GI tolerance and hydration,Selected pediatric indications with specialist dosing,Generally avoided during pregnancy for weight management,Limited lactation data,Nausea vomiting diarrhea
Semaglutide,Semaglutide,Antidiabetic,GLP-1 receptor agonist,Type 2 diabetes and weight management,Subcutaneous/Oral,Activates GLP-1 receptors,Use cautiously in severe renal impairment,Caution in hepatic impairment,Monitor GI effects and hydration,Selected pediatric use depending product,Generally avoided during pregnancy for weight management,Limited lactation data,Nausea vomiting diarrhea
Carvedilol,Carvedilol,Beta blocker,Nonselective beta and alpha-1 blocker,Heart failure and hypertension,Oral,Blocks beta and alpha-1 receptors,Caution in renal dysfunction with heart failure,Avoid severe hepatic impairment,Start low and titrate slowly,Specialist pediatric use,Use only when clearly indicated,Limited data,Dizziness bradycardia hypotension
Nebivolol,Nebivolol,Beta blocker,Selective beta-1 blocker,Hypertension,Oral,Selective beta-1 blockade with nitric oxide-mediated vasodilation,Caution in renal impairment,Caution in hepatic impairment,Start with low dose when appropriate,Limited pediatric use,Use when indicated,Limited data,Headache fatigue bradycardia
Tamsulosin,Tamsulosin,Urinary agent,Alpha-1A blocker,Benign prostatic hyperplasia,Oral,Relaxes prostate and bladder neck smooth muscle,No routine adjustment but caution severe renal disease,Use cautiously in hepatic impairment,Orthostatic hypotension risk,Not routinely indicated in children,Not routinely indicated in pregnancy,Limited data,Dizziness abnormal ejaculation hypotension
Finasteride,Finasteride,Urinary agent,5-alpha reductase inhibitor,Benign prostatic hyperplasia and androgenic alopecia,Oral,Reduces conversion of testosterone to dihydrotestosterone,Usually no adjustment,Use cautiously in hepatic impairment,Not indicated in women or children,Contraindicated in pediatric use,Contraindicated in pregnancy,Generally not used in breastfeeding,Decreased libido erectile dysfunction
Terazosin,Terazosin,Urinary/Antihypertensive agent,Alpha-1 blocker,Benign prostatic hyperplasia and hypertension,Oral,Blocks alpha-1 receptors,Use cautiously,Use cautiously in hepatic impairment,First-dose orthostatic hypotension risk,Not routinely used in children,Use only when indicated,Limited data,Dizziness hypotension fatigue
Esomeprazole,Esomeprazole,Antiulcer,Proton pump inhibitor,GERD and acid-related disorders,Oral/IV,Suppresses gastric proton pump,Usually no adjustment,Lower dose may be needed in hepatic impairment,Monitor long-term use,Age-specific dosing available,Generally compatible when indicated,Compatible with caution,Headache diarrhea abdominal pain
Lansoprazole,Lansoprazole,Antiulcer,Proton pump inhibitor,GERD and peptic ulcer disease,Oral,Suppresses gastric proton pump,Use cautiously in severe renal disease,Lower dose may be considered in hepatic impairment,Monitor long-term effects,Age-specific pediatric use,Generally compatible when indicated,Compatible with caution,Headache diarrhea nausea
Rabeprazole,Rabeprazole,Antiulcer,Proton pump inhibitor,GERD and peptic ulcer disease,Oral,Suppresses gastric proton pump,Usually no adjustment,Caution in hepatic impairment,Monitor long-term nutrient effects,Age-specific use,Generally compatible when indicated,Compatible with caution,Headache diarrhea abdominal pain
Famotidine,Famotidine,Antiulcer,H2 receptor antagonist,GERD and peptic ulcer disease,Oral/IV,Blocks histamine H2 receptors,Renal dose adjustment required,Use cautiously in hepatic impairment,Greater CNS effects possible,Age-specific pediatric dosing,Generally compatible when indicated,Compatible,Headache constipation confusion
Ondansetron,Ondansetron,Antiemetic,5-HT3 antagonist,Nausea and vomiting,Oral/IV,Blocks serotonin 5-HT3 receptors,Usually no adjustment,Lower total daily dose may be required in severe hepatic impairment,QT prolongation risk,Age-specific dosing available,Use when clinically indicated,Generally considered compatible,Headache constipation QT prolongation
Metoclopramide,Metoclopramide,Antiemetic,dopamine antagonist,Nausea vomiting and gastroparesis,Oral/IV,Blocks dopamine receptors and enhances GI motility,Renal dose reduction required,Reduce dose in significant hepatic impairment,Greater extrapyramidal and tardive dyskinesia risk,Age restrictions apply,Use only when indicated,Generally compatible short-term,Extrapyramidal effects drowsiness diarrhea
Domperidone,Domperidone,Antiemetic/Prokinetic,Dopamine antagonist,Nausea vomiting and selected GI disorders,Oral,Blocks peripheral dopamine D2 receptors,Use cautiously in renal impairment and reduce repeated dosing,Caution or avoid in significant hepatic impairment,QT and arrhythmia risk increased in older adults,Not routinely recommended in young children,Use only when clearly indicated,Limited data,QT prolongation dry mouth headache
Loperamide,Loperamide,Antidiarrheal,Peripheral opioid receptor agonist,Acute diarrhea,Oral,Reduces intestinal motility,Use cautiously in severe renal impairment,Caution in hepatic impairment,Avoid excessive dosing due to cardiac toxicity,Age restrictions apply,Use only when indicated,Generally compatible with caution,Constipation abdominal cramps dizziness
Bisacodyl,Bisacodyl,Laxative,Stimulant laxative,Constipation,Oral/Rectal,Stimulates intestinal motility,Use cautiously in renal impairment,Caution in hepatic disease,Monitor dehydration and electrolytes,Age-specific dosing,Use when needed,Generally compatible,Abdominal cramps diarrhea
Lactulose,Lactulose,Laxative,Hyperosmotic laxative,Constipation and hepatic encephalopathy,Oral/Rectal,Increases osmotic water retention and acidifies colon,Generally no major adjustment,Used in hepatic encephalopathy,Monitor fluid and electrolyte balance,Age-specific dosing,Generally compatible,Compatible,Flatulence diarrhea abdominal cramps
Polyethylene Glycol,Polyethylene Glycol,Laxative,Osmotic laxative,Constipation,Oral,Retains water in stool,Use cautiously in severe renal impairment,Usually no major hepatic adjustment,Monitor hydration,Age-specific formulations available,Generally compatible when indicated,Compatible,Bloating diarrhea abdominal discomfort
Morphine,Morphine,Opioid analgesic,Opioid receptor agonist,Moderate to severe pain,Oral/Injection,Activates opioid receptors,Active metabolites accumulate in renal impairment; reduce dose,Caution in hepatic impairment,Greater respiratory depression and confusion risk,Weight-based specialist dosing,Use only when benefits outweigh risks,Can enter breast milk; monitor infant,Respiratory depression constipation nausea sedation
Tramadol,Tramadol,Opioid analgesic,Opioid and monoamine reuptake inhibitor,Moderate pain,Oral/Injection,Weak mu-opioid agonist and inhibits serotonin/norepinephrine reuptake,Renal dose adjustment may be required,Lower dosing may be required,Greater CNS adverse effects possible,Age restrictions apply,Use only when clearly indicated,Use cautiously due to infant sedation,Nausea dizziness seizures
Codeine,Codeine,Opioid analgesic,Opioid agonist,Pain and cough,Oral,Converted partly to morphine and activates opioid receptors,Use cautiously in renal impairment,Caution in hepatic impairment,Increased sensitivity and respiratory depression risk,Generally avoided in young children,Generally avoided especially around delivery,Generally avoided during breastfeeding,Respiratory depression constipation nausea
Oxycodone,Oxycodone,Opioid analgesic,Opioid receptor agonist,Moderate to severe pain,Oral,Activates opioid receptors,Reduce dose in renal impairment,Caution in hepatic impairment,High risk of sedation and falls,Specialist pediatric use,Use only when clearly indicated,Monitor breastfed infant,Constipation sedation nausea respiratory depression
Buprenorphine,Buprenorphine,Opioid analgesic,Partial opioid agonist,Moderate to severe pain and opioid dependence,Transdermal/Sublingual/Injection,Partial mu-opioid agonist,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor sedation and falls,Specialist pediatric use,Use only when clearly indicated,May be used with specialist monitoring,Sedation nausea constipation
Naloxone,Naloxone,Opioid antagonist,Opioid receptor antagonist,Opioid overdose,Injection/Nasal,Blocks opioid receptors,No major adjustment,Use cautiously in hepatic impairment,Monitor for acute withdrawal,Weight-based pediatric emergency dosing,Can be used in emergencies,Limited systemic exposure depending route,Withdrawal nausea hypertension
Diazepam,Diazepam,Anxiolytic/Anticonvulsant,Benzodiazepine,Anxiety seizures and muscle spasm,Oral/IV/Rectal,Enhances GABA-A receptor activity,Use cautiously in renal impairment,Reduced clearance in hepatic impairment,High sedation and fall risk,Specialist pediatric use,Use only when clearly indicated,May cause infant sedation,Drowsiness ataxia respiratory depression
Lorazepam,Lorazepam,Anxiolytic/Anticonvulsant,Benzodiazepine,Anxiety seizures and sedation,Oral/Injection,Enhances GABA-A activity,Use cautiously in severe renal impairment,Caution in hepatic impairment,Greater sedation and cognitive impairment risk,Specialist pediatric use,Use only when clearly indicated,Monitor breastfed infant,Sedation dizziness respiratory depression
Alprazolam,Alprazolam,Anxiolytic,Benzodiazepine,Anxiety disorders,Oral,Enhances GABA-A activity,Use cautiously,Use cautiously or avoid significant hepatic impairment,High risk of sedation and falls,Not routinely recommended in children,Use only when clearly indicated,May cause infant sedation,Drowsiness dizziness dependence
Clonazepam,Clonazepam,Anticonvulsant/Anxiolytic,Benzodiazepine,Seizure disorders and panic disorder,Oral,Enhances GABA-A activity,Use cautiously in renal impairment,Avoid or use cautiously in severe hepatic impairment,Increased sedation and fall risk,Specialist pediatric use,Use only when clearly indicated,May cause infant sedation,Drowsiness ataxia respiratory depression
Phenytoin,Phenytoin,Anticonvulsant,Hydantoin,Seizure disorders,Oral/IV,Blocks voltage-gated sodium channels,Use cautiously and monitor free levels in renal impairment,Protein binding and metabolism altered in hepatic disease,Drug interactions and toxicity risk,Weight-based pediatric dosing,Use only when indicated,Can enter breast milk; specialist monitoring,Rash ataxia gingival hyperplasia
Valproic Acid,Valproic Acid,Anticonvulsant/Mood stabilizer,Valproate,Epilepsy and bipolar disorder,Oral/IV,Increases GABA and affects ion channels,Avoid or use cautiously in significant renal disease,Contraindicated in significant hepatic disease,Greater toxicity risk,Specialist pediatric use,Major pregnancy risks including neural tube defects,Generally avoided or specialist monitored,Weight gain tremor hepatotoxicity
Carbamazepine,Carbamazepine,Anticonvulsant,Imipramine-related anticonvulsant,Epilepsy and trigeminal neuralgia,Oral,Blocks voltage-gated sodium channels,Use cautiously,Use cautiously in hepatic impairment,Monitor sodium and drug interactions,Used in selected pediatric epilepsy,Pregnancy requires careful risk-benefit assessment,Use only with specialist advice,Dizziness diplopia hyponatremia
Levetiracetam,Levetiracetam,Anticonvulsant,Pyrrolidone derivative,Epilepsy,Oral/IV,Modulates synaptic vesicle protein SV2A,Renal dose adjustment required,Usually minimal hepatic adjustment,Monitor mood and renal function,Used in children with age-appropriate dosing,Use when clinically indicated,Generally compatible with monitoring,Somnolence irritability dizziness
Gabapentin,Gabapentin,Anticonvulsant/Neuropathic analgesic,GABA analogue,Neuropathic pain and epilepsy,Oral,Modulates voltage-gated calcium channels,Renally eliminated; dose adjustment required,Usually no major hepatic adjustment,Greater sedation and dizziness risk,Age-specific pediatric use,Use when benefits outweigh risks,Limited data,Somnolence dizziness edema
Pregabalin,Pregabalin,Neuropathic analgesic/Anticonvulsant,GABA analogue,Neuropathic pain and epilepsy,Oral,Modulates voltage-gated calcium channels,Renal dose adjustment required,Usually no major hepatic adjustment,Greater dizziness and fall risk,Specialist pediatric use,Use only when indicated,Limited data,Dizziness somnolence edema
Amitriptyline,Amitriptyline,Antidepressant,Tricyclic antidepressant,Depression and neuropathic pain,Oral,Inhibits serotonin and norepinephrine reuptake,Use cautiously in renal impairment,Caution in hepatic impairment,Anticholinergic and cardiac effects increased,Not routinely recommended in young children,Use only when indicated,May cause infant sedation,Dry mouth constipation sedation arrhythmia
Fluoxetine,Fluoxetine,Antidepressant,SSRI,Depression and anxiety disorders,Oral,Inhibits serotonin reuptake,Usually no adjustment,Caution in hepatic impairment,Long half-life and interaction risk,Age-specific use for selected indications,Use only when clinically indicated,Can enter breast milk; monitor infant,Nausea insomnia sexual dysfunction
Sertraline,Sertraline,Antidepressant,SSRI,Depression and anxiety disorders,Oral,Inhibits serotonin reuptake,Usually no adjustment,Lower dose may be required in hepatic impairment,Start low and monitor,Age-specific use for selected indications,Use when indicated,Often considered compatible with breastfeeding,Nausea diarrhea insomnia
Escitalopram,Escitalopram,Antidepressant,SSRI,Depression and anxiety disorders,Oral,Inhibits serotonin reuptake,Use cautiously in severe renal impairment,Lower starting dose in hepatic impairment,Monitor QT and hyponatremia,Not routinely used in young children,Use when benefits outweigh risks,Generally compatible with monitoring,Nausea insomnia sexual dysfunction
Venlafaxine,Venlafaxine,Antidepressant,SNRI,Depression and anxiety disorders,Oral,Inhibits serotonin and norepinephrine reuptake,Reduce dose in renal impairment,Reduce dose in hepatic impairment,Monitor blood pressure and hyponatremia,Limited pediatric use,Use only when indicated,Limited data,Nausea hypertension insomnia
Duloxetine,Duloxetine,Antidepressant/Neuropathic analgesic,SNRI,Depression anxiety and neuropathic pain,Oral,Inhibits serotonin and norepinephrine reuptake,Avoid severe renal impairment,Avoid significant hepatic impairment,Monitor blood pressure and liver effects,Limited pediatric use,Use only when clearly indicated,Limited data,Nausea dry mouth insomnia
Bupropion,Bupropion,Antidepressant,Norepinephrine/dopamine reuptake inhibitor,Depression and smoking cessation,Oral,Inhibits norepinephrine and dopamine reuptake,Lower dose may be required,Caution or lower dose in hepatic impairment,Seizure risk requires caution,Not routinely used in young children,Use only when indicated,Limited data,Insomnia dry mouth seizures
Mirtazapine,Mirtazapine,Antidepressant,NaSSA,Depression,Oral,Enhances noradrenergic and serotonergic activity,Use cautiously,Lower dose may be required,Greater sedation and falls,Limited pediatric use,Use when clinically indicated,Limited data,Sedation weight gain increased appetite
Haloperidol,Haloperidol,Antipsychotic,Typical antipsychotic,Dual use in psychotic disorders and selected conditions,Oral/Injection,Blocks dopamine D2 receptors,Use cautiously in renal impairment,Caution in hepatic impairment,Greater extrapyramidal and QT risks,Specialist pediatric use,Use only when clearly indicated,Limited data,Extrapyramidal effects sedation QT prolongation
Risperidone,Risperidone,Antipsychotic,Atypical antipsychotic,Schizophrenia and bipolar disorder,Oral/Injection,Blocks dopamine D2 and serotonin 5-HT2A receptors,Lower starting dose may be needed,Use cautiously in hepatic impairment,Monitor metabolic and movement effects,Used in selected pediatric disorders,Use when benefits outweigh risks,Limited data,Weight gain sedation hyperprolactinemia
Olanzapine,Olanzapine,Antipsychotic,Atypical antipsychotic,Schizophrenia and bipolar disorder,Oral/Injection,Blocks dopamine and serotonin receptors,Usually no renal adjustment,Caution in hepatic impairment,High metabolic and sedation risk,Selected pediatric use,Use only when indicated,Limited data,Weight gain sedation metabolic effects
Quetiapine,Quetiapine,Antipsychotic,Atypical antipsychotic,Schizophrenia and bipolar disorder,Oral,Blocks dopamine and serotonin receptors,Use cautiously,Lower starting dose in hepatic impairment,Orthostatic hypotension and sedation risk,Selected pediatric use,Use when benefits outweigh risks,Limited data,Sedation weight gain hypotension
Clozapine,Clozapine,Antipsychotic,Atypical antipsychotic,Treatment-resistant schizophrenia,Oral,Blocks multiple neurotransmitter receptors,Use cautiously,Use cautiously in hepatic impairment,Requires blood count monitoring and seizure monitoring,Specialist pediatric use only,Use only when essential,Limited data,Agranulocytosis seizures myocarditis
Aripiprazole,Aripiprazole,Antipsychotic,Atypical antipsychotic,Schizophrenia and bipolar disorder,Oral/Injection,Partial dopamine D2 and serotonin receptor agonist/antagonist,Usually no major adjustment,Caution in hepatic impairment,Monitor movement and metabolic effects,Selected pediatric use,Use when indicated,Limited data,Akathisia insomnia nausea
Salbutamol,Salbutamol,Bronchodilator,Short-acting beta-2 agonist,Asthma and bronchospasm,Inhalation/Oral,Stimulates beta-2 receptors causing bronchial smooth muscle relaxation,Use cautiously in severe renal impairment,Usually no major adjustment,Monitor cardiovascular effects in older adults,Commonly used with pediatric age-specific dosing,Generally used when clinically indicated,Generally compatible with monitoring,Tremor tachycardia headache hypokalemia
Salmeterol,Salmeterol,Bronchodilator,Long-acting beta-2 agonist,Maintenance treatment of asthma and COPD,Inhalation,Long-acting beta-2 receptor agonist,No major renal adjustment,Use cautiously in hepatic impairment,Monitor cardiovascular effects,Age-specific inhaled use,Use only when indicated and with appropriate controller therapy,Limited data,Headache tremor palpitations
Formoterol,Formoterol,Bronchodilator,Long-acting beta-2 agonist,Maintenance treatment of asthma and COPD,Inhalation,Long-acting beta-2 receptor agonist,No major adjustment,Use cautiously in hepatic impairment,Monitor heart rate and potassium,Age-specific inhaled use,Use when clinically indicated,Limited data,Tremor palpitations headache
Budesonide,Budesonide,Corticosteroid,Inhaled corticosteroid,Asthma and COPD,Inhalation,Activates glucocorticoid receptors and reduces airway inflammation,Usually no adjustment,Use cautiously in hepatic impairment,Monitor long-term corticosteroid effects,Common pediatric inhaled corticosteroid,Use when benefits outweigh risks,Generally compatible with monitoring,Oral candidiasis hoarseness cough
Fluticasone,Fluticasone,Corticosteroid,Inhaled corticosteroid,Asthma and COPD,Inhalation,Suppresses airway inflammation through glucocorticoid receptors,Usually no adjustment,Caution in hepatic impairment,Monitor growth and systemic corticosteroid effects,Used in children with age-specific dosing,Use when clinically indicated,Generally compatible with monitoring,Oral candidiasis hoarseness
Beclomethasone,Beclomethasone,Corticosteroid,Inhaled corticosteroid,Asthma,Inhalation,Reduces airway inflammation through glucocorticoid activity,Usually no adjustment,Caution in hepatic impairment,Monitor growth and adrenal effects,Used in pediatric asthma,Use when clinically indicated,Generally compatible with monitoring,Hoarseness oral candidiasis
Montelukast,Montelukast,Antiasthmatic,Leukotriene receptor antagonist,Asthma and allergic rhinitis,Oral,Blocks cysteinyl leukotriene receptors,Usually no adjustment,Use cautiously in hepatic impairment,Monitor neuropsychiatric effects,Available in pediatric formulations,Use when indicated,Generally compatible,Headache abdominal pain neuropsychiatric effects
Theophylline,Theophylline,Bronchodilator,Methylxanthine,Asthma and bronchospasm,Oral/IV,Inhibits phosphodiesterase and antagonizes adenosine receptors,Use cautiously in renal impairment,Clearance may be altered in hepatic disease,Older adults have increased toxicity risk,Requires careful pediatric dosing,Use only when benefits outweigh risks,Limited data,Nausea tremor tachycardia seizures
Ipratropium,Ipratropium,Bronchodilator,Anticholinergic,Chronic obstructive pulmonary disease and bronchospasm,Inhalation,Blocks muscarinic receptors in airway smooth muscle,Use cautiously in severe renal impairment,Usually no major adjustment,Monitor urinary retention and glaucoma risk,Used in pediatric respiratory disease with age-specific dosing,Use when indicated,Generally compatible,Dry mouth cough blurred vision
Tiotropium,Tiotropium,Bronchodilator,Long-acting muscarinic antagonist,Maintenance treatment of COPD,Inhalation,Long-acting muscarinic receptor antagonist,Renal impairment increases exposure; monitor closely,Usually no major hepatic adjustment,Monitor urinary retention and glaucoma,Selected pediatric use depending product,Use when clinically indicated,Limited data,Dry mouth constipation urinary retention
Acetylcysteine,Acetylcysteine,Mucolytic/Antidote,Mucolytic agent,Paracetamol poisoning and respiratory mucus,Oral/IV/Inhalation,Replenishes glutathione and breaks disulfide bonds in mucus,Usually no major adjustment,Use cautiously in severe hepatic disease,Monitor adverse reactions during IV administration,Specialist pediatric dosing,Can be used when indicated,Generally compatible,Nausea vomiting rash bronchospasm
Dextromethorphan,Dextromethorphan,Antitussive,Non-opioid cough suppressant,Cough,Oral,Suppresses medullary cough reflex,Use cautiously in renal impairment,Avoid or reduce dose in severe hepatic impairment,Greater CNS effects possible,Age restrictions apply,Use only when indicated,Limited data,Drowsiness dizziness nausea
Cetirizine,Cetirizine,Antihistamine,Second-generation H1 antagonist,Allergic rhinitis and urticaria,Oral,Blocks peripheral H1 receptors,Reduce dose in renal impairment,Use cautiously in hepatic impairment,Monitor sedation,Available for pediatric use with age-specific dosing,Generally considered compatible when indicated,Generally compatible,Drowsiness dry mouth headache
Levocetirizine,Levocetirizine,Antihistamine,Second-generation H1 antagonist,Allergic rhinitis and urticaria,Oral,Blocks H1 receptors,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor sedation,Available in pediatric age groups,Use when indicated,Limited data,Somnolence dry mouth fatigue
Loratadine,Loratadine,Antihistamine,Second-generation H1 antagonist,Allergic rhinitis and urticaria,Oral,Blocks peripheral H1 receptors,Use cautiously in renal impairment,Lower dose may be required in hepatic impairment,Monitor sedation and interactions,Available for pediatric use,Generally compatible when indicated,Generally compatible,Headache drowsiness dry mouth
Fexofenadine,Fexofenadine,Antihistamine,Second-generation H1 antagonist,Allergic rhinitis and urticaria,Oral,Blocks peripheral H1 receptors,Lower dose may be required in renal impairment,Usually no major adjustment,Low sedation but monitor tolerance,Available in pediatric formulations,Generally compatible when indicated,Generally compatible,Headache nausea dizziness
Chlorpheniramine,Chlorpheniramine,Antihistamine,First-generation H1 antagonist,Allergic conditions,Oral/Injection,Blocks H1 receptors,Use cautiously,Use cautiously in hepatic impairment,Greater anticholinergic and sedative effects,Age restrictions apply,Use only when indicated,May cause infant sedation,Sedation dry mouth blurred vision
Diphenhydramine,Diphenhydramine,Antihistamine,First-generation H1 antagonist,Allergy and selected short-term indications,Oral/Injection,Blocks H1 receptors,Use cautiously in renal impairment,Caution in hepatic impairment,High anticholinergic and sedation risk,Age restrictions apply,Use only when indicated,May cause infant sedation,Sedation dry mouth urinary retention
Promethazine,Promethazine,Antihistamine/Antiemetic,Phenothiazine derivative,Allergy nausea and motion sickness,Oral/Injection,Blocks H1 receptors with anticholinergic effects,Use cautiously,Use cautiously in hepatic impairment,High sedation and respiratory depression risk,Contraindicated in very young children,Use only when clearly indicated,May cause infant sedation,Sedation hypotension dry mouth
Amoxicillin,Amoxicillin,Antibiotic,Penicillin,Respiratory urinary and other bacterial infections,Oral/Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Use cautiously in severe hepatic disease,Monitor allergy and diarrhea,Common pediatric antibiotic with weight-based dosing,Generally considered safe when indicated,Compatible with monitoring,Diarrhea rash nausea
Ampicillin,Ampicillin,Antibiotic,Penicillin,Serious bacterial infections,Oral/Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Monitor hepatic effects in prolonged treatment,Monitor allergy and diarrhea,Common pediatric use with weight-based dosing,Generally considered compatible when indicated,Compatible,Rash diarrhea nausea
Piperacillin,Piperacillin,Antibiotic,Penicillin,Serious bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Caution in hepatic impairment,Monitor electrolytes and blood counts,Specialist pediatric dosing,Use when clearly indicated,Limited data,Diarrhea rash electrolyte abnormalities
Cefixime,Cefixime,Antibiotic,Third-generation cephalosporin,Respiratory urinary and other bacterial infections,Oral,Inhibits bacterial cell wall synthesis,Renal dose adjustment may be required,Usually no major hepatic adjustment,Monitor diarrhea and allergy,Common pediatric use with weight-based dosing,Generally compatible when indicated,Compatible,Diarrhea nausea rash
Cefuroxime,Cefuroxime,Antibiotic,Second-generation cephalosporin,Bacterial infections,Oral/Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor allergy and C difficile diarrhea,Common pediatric use,Generally compatible when indicated,Compatible,Diarrhea nausea rash
Ceftriaxone,Ceftriaxone,Antibiotic,Third-generation cephalosporin,Serious bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Usually no major renal adjustment when hepatic function is adequate,Caution with severe hepatic and renal dysfunction,Monitor biliary effects,Common pediatric use including neonates with restrictions,Generally compatible when indicated,Compatible,Diarrhea rash biliary sludge
Cefotaxime,Cefotaxime,Antibiotic,Third-generation cephalosporin,Serious bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor blood counts and allergy,Common pediatric use with specialist dosing,Generally compatible when indicated,Compatible,Diarrhea rash injection-site reactions
Cefepime,Cefepime,Antibiotic,Fourth-generation cephalosporin,Serious bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment essential,Usually no major hepatic adjustment,Older adults with renal impairment have higher neurotoxicity risk,Specialist pediatric dosing,Use when clearly indicated,Limited data,Diarrhea rash encephalopathy
Meropenem,Meropenem,Antibiotic,Carbapenem,Severe bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Usually no major hepatic adjustment,Monitor seizures and superinfection,Specialist pediatric dosing,Use when clearly indicated,Limited data,Diarrhea rash seizures
Imipenem,Cilastatin,Antibiotic,Carbapenem,Severe bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Caution in hepatic impairment,Increased seizure risk with renal dysfunction,Specialist pediatric dosing,Use when indicated,Limited data,Nausea diarrhea seizures
Aztreonam,Aztreonam,Antibiotic,Monobactam,Gram-negative bacterial infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor allergy and liver enzymes,Specialist pediatric use,Use when indicated,Limited data,Rash diarrhea elevated liver enzymes
